City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,haiku-pauwela,20.9219,-156.3051,26.230000000000018,67,20,4.63,US,1712607176
162,petropavlovsk-kamchatsky,53.0452,158.6483,2.4700000000000273,82,75,1.0,RU,1712607337
163,kodiak,57.79,-152.4072,3.730000000000018,60,0,6.17,US,1712607175
164,green,40.9459,-81.4832,21.480000000000018,52,75,3.09,US,1712607337
165,salinopolis,-0.6136,-47.3561,27.200000000000045,86,100,3.93,BR,1712607337
166,northam,51.0333,-4.2167,9.78000000000003,82,78,6.26,GB,1712607209
167,sint michiel liber,12.15,-68.9833,30.900000000000034,70,20,6.69,CW,1712607338
168,yigo village,13.5361,144.8886,26.160000000000025,83,40,6.69,GU,1712607338
169,porto novo,6.4965,2.6036,27.900000000000034,77,100,3.94,BJ,1712607338
170,baardheere,2.3446,42.2764,26.850000000000023,75,100,4.04,SO,1712607338
171,yambio,4.5721,28.3955,23.58000000000004,68,66,1.41,SS,1712607338
172,happy valley-goose bay,53.3168,-60.3315,-0.8299999999999841,93,100,4.63,CA,1712607339
173,tazovsky,67.4667,78.7,-17.47999999999999,94,33,4.57,RU,1712607187
174,shangmei,27.7428,111.2956,15.230000000000018,84,71,0.79,CN,1712607339
175,sinop,41.7711,34.8709,8.160000000000025,78,100,0.94,TR,1712607070
176,la passe,45.5549,-0.8967,11.660000000000025,80,100,8.25,FR,1712607179
177,sisimiut,66.9395,-53.6735,-3.9899999999999523,77,74,3.2,GL,1712607339
178,ain sukhna,29.6002,32.3167,19.110000000000014,57,40,1.42,EG,1712607339
179,al bawiti,28.3492,28.8659,20.100000000000023,40,2,4.91,EG,1712607340
180,alofi,-19.0595,-169.9187,24.939999999999998,94,100,7.2,NU,1712607340
181,mancio lima,-7.6142,-72.8958,31.04000000000002,74,75,1.54,BR,1712607340
182,tejen,37.3834,60.5054,21.600000000000023,28,97,3.96,TM,1712607340
183,arkalyk,50.2486,66.9114,6.420000000000016,95,50,2.83,KZ,1712607340
184,kargasok,59.0556,80.8572,-0.5799999999999841,62,100,5.81,RU,1712607341
185,phan rang-thap cham,11.5667,108.9833,23.02000000000004,92,53,2.45,VN,1712607341
